x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.,-0.57,0.,-1.08,0.,0.33,0.,0.010008,0.,0.
1.,-0.57,1.,-1.08,1.,0.15,1.,0.010016,1.,0.
2.,-0.57,2.,-1.08,2.,0.15,2.,0.010028,2.,0.
3.,-0.57,3.,-1.08,3.,0.15,3.,0.010016,3.,0.
4.,-0.57,4.,-1.07,4.,0.15,4.,0.010028,4.,0.
5.,-0.57,5.,-1.08,5.,0.15,5.,0.010016,5.,0.
6.,-0.57,6.,-1.08,6.,0.15,6.,0.010024,6.,0.
7.,-0.57,7.,-1.08,7.,-0.22,7.,0.010024,7.,0.
8.,-0.57,8.,-1.07,8.,0.21,8.,0.010028,8.,0.
9.,-0.57,9.,-1.07,9.,0.15,9.,0.01002,9.,0.
10.,-0.57,10.,-1.08,10.,0.03,10.,0.01002,10.,0.
11.,-0.57,11.,-1.07,11.,0.03,11.,0.010008,11.,0.
12.,-0.58,12.,-1.08,12.,-0.09,12.,0.010008,12.,0.
13.,-0.57,13.,-1.08,13.,0.03,13.,0.010016,13.,0.
14.,-0.57,14.,-1.07,14.,0.03,14.,0.010012,14.,0.
15.,-0.58,15.,-1.08,15.,0.15,15.,0.010016,15.,0.
16.,-0.58,16.,-1.08,16.,-0.03,16.,0.010024,16.,0.
17.,-0.57,17.,-1.08,17.,0.09,17.,0.01002,17.,0.
18.,-0.57,18.,-1.07,18.,0.15,18.,0.010008,18.,0.
19.,-0.57,19.,-1.08,19.,0.03,19.,0.010012,19.,0.
20.,-0.58,20.,-1.07,20.,0.03,20.,0.010016,20.,0.
21.,-0.57,21.,-1.08,21.,-0.09,21.,0.010016,21.,0.
22.,-0.57,22.,-1.08,22.,-0.15,22.,0.01002,22.,0.
23.,-0.57,23.,-1.08,23.,0.03,23.,0.010028,23.,0.
24.,-0.58,24.,-1.07,24.,-0.03,24.,0.010012,24.,0.
25.,-0.57,25.,-1.07,25.,-0.03,25.,0.010032,25.,0.
26.,-0.57,26.,-1.08,26.,0.27,26.,0.010028,26.,0.
27.,-0.58,27.,-1.08,27.,0.09,27.,0.010016,27.,0.
28.,-0.58,28.,-1.08,28.,0.03,28.,0.010012,28.,0.
29.,-0.58,29.,-1.08,29.,0.09,29.,0.010016,29.,0.
30.,-0.57,30.,-1.07,30.,-0.22,30.,0.010016,30.,0.
31.,-0.57,31.,-1.08,31.,0.33,31.,0.010028,31.,0.
32.,-0.57,32.,-1.08,32.,0.09,32.,0.010024,32.,0.
33.,-0.57,33.,-1.08,33.,0.15,33.,0.010008,33.,0.
34.,-0.57,34.,-1.08,34.,0.09,34.,0.010016,34.,0.
35.,-0.57,35.,-1.08,35.,0.09,35.,0.010016,35.,0.
36.,-0.57,36.,-1.08,36.,0.03,36.,0.010008,36.,0.
37.,-0.57,37.,-1.07,37.,0.27,37.,0.010008,37.,0.
38.,-0.58,38.,-1.07,38.,0.09,38.,0.010012,38.,0.
39.,-0.57,39.,-1.07,39.,0.39,39.,0.010004,39.,0.
40.,-0.44,40.,-1.06,40.,16.98,40.,0.010024,40.,1.
41.,-0.46,41.,-1.07,41.,69.72,41.,0.010028,41.,4.
42.,-0.47,42.,-1.07,42.,119.48,42.,0.010052,42.,10.
43.,-0.51,43.,-1.13,43.,158.5,43.,0.010028,43.,17.
44.,-0.52,44.,-1.11,44.,188.02,44.,0.010036,44.,26.
45.,-0.5,45.,-1.11,45.,209.97,45.,0.010012,45.,35.
46.,-0.52,46.,-1.17,46.,225.64,46.,0.010024,46.,46.
47.,-0.51,47.,-1.21,47.,236.06,47.,0.010028,47.,58.
48.,-0.51,48.,-1.19,48.,242.53,48.,0.010024,48.,70.
49.,-0.54,49.,-1.18,49.,246.25,49.,0.010048,49.,82.
50.,-0.55,50.,-1.23,50.,246.86,50.,0.010032,50.,95.
51.,-0.56,51.,-1.26,51.,246.37,51.,0.010008,51.,108.
52.,-0.52,52.,-1.31,52.,244.66,52.,0.01004,52.,121.
53.,-0.48,53.,-1.31,53.,241.06,53.,0.010056,53.,135.
54.,-0.52,54.,-1.32,54.,235.88,54.,0.01004,54.,149.
55.,-0.56,55.,-1.34,55.,230.94,55.,0.010004,55.,163.
56.,-0.48,56.,-1.38,56.,225.33,56.,0.010004,56.,176.
57.,-0.47,57.,-1.38,57.,218.69,57.,0.010052,57.,191.
58.,-0.51,58.,-1.36,58.,211.98,58.,0.010004,58.,205.
59.,-0.51,59.,-1.41,59.,205.58,59.,0.010048,59.,219.
60.,-0.46,60.,-1.45,60.,198.26,60.,0.010024,60.,233.
61.,-0.46,61.,-1.4,61.,189.78,61.,0.010008,61.,247.
62.,-0.49,62.,-1.44,62.,181.31,62.,0.01004,62.,262.
63.,-0.42,63.,-1.5,63.,173.63,63.,0.010012,63.,276.
64.,-0.44,64.,-1.46,64.,165.33,64.,0.010012,64.,290.
65.,-0.47,65.,-1.48,65.,157.83,65.,0.01002,65.,305.
66.,-0.4,66.,-1.53,66.,150.03,66.,0.010004,66.,319.
67.,-0.38,67.,-1.48,67.,141.61,67.,0.010048,67.,334.
68.,-0.45,68.,-1.52,68.,133.81,68.,0.010016,68.,348.
69.,-0.4,69.,-1.56,69.,126.19,69.,0.010016,69.,363.
70.,-0.4,70.,-1.56,70.,118.14,70.,0.01002,70.,377.
71.,-0.42,71.,-1.53,71.,110.39,71.,0.010052,71.,392.
72.,-0.39,72.,-1.58,72.,102.77,72.,0.010008,72.,406.
73.,-0.34,73.,-1.54,73.,94.36,73.,0.010008,73.,420.
74.,-0.39,74.,-1.53,74.,86.8,74.,0.010004,74.,435.
75.,-0.4,75.,-1.58,75.,79.91,75.,0.010004,75.,449.
76.,-0.33,76.,-1.57,76.,71.92,76.,0.010044,76.,464.
77.,-0.34,77.,-1.55,77.,63.93,77.,0.010016,77.,478.
78.,-0.37,78.,-1.59,78.,56.86,78.,0.010012,78.,493.
79.,-0.34,79.,-1.61,79.,49.42,79.,0.010016,79.,507.
80.,-0.35,80.,-1.57,80.,41.19,80.,0.010008,80.,522.
81.,-0.38,81.,-1.6,81.,33.81,81.,0.010008,81.,536.
82.,-0.32,82.,-1.61,82.,26.31,82.,0.01004,82.,551.
83.,-0.34,83.,-1.57,83.,18.5,83.,0.010012,83.,565.
84.,-0.38,84.,-1.58,84.,12.53,84.,0.010008,84.,580.
85.,-0.34,85.,-1.61,85.,6.31,85.,0.010048,85.,595.
86.,-0.31,86.,-1.58,86.,-0.03,86.,0.010008,86.,609.
