x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.,0.0000000000,0.,0.,0.,0.0000000000,0.,0.0000000000,0.,0.0000000000
1.,1.,1.,-0.16,1.,-0.,1.,0.010028,1.,0.
2.,1.,2.,-0.16,2.,-0.18,2.,0.010024,2.,0.
3.,0.99,3.,-0.16,3.,-0.06,3.,0.010036,3.,0.
4.,0.99,4.,-0.16,4.,0.06,4.,0.010032,4.,0.
5.,0.99,5.,-0.17,5.,0.06,5.,0.010008,5.,0.
6.,0.99,6.,-0.17,6.,0.18,6.,0.010008,6.,0.
7.,0.99,7.,-0.16,7.,0.18,7.,0.01002,7.,0.
8.,0.99,8.,-0.16,8.,0.12,8.,0.010016,8.,0.
9.,0.99,9.,-0.16,9.,0.3,9.,0.01002,9.,0.
10.,0.99,10.,-0.17,10.,0.3,10.,0.010012,10.,0.
11.,0.99,11.,-0.17,11.,0.24,11.,0.01002,11.,0.
12.,0.99,12.,-0.16,12.,0.36,12.,0.010024,12.,0.
13.,0.99,13.,-0.16,13.,0.91,13.,0.010024,13.,0.
14.,0.99,14.,-0.16,14.,1.03,14.,0.010016,14.,0.
15.,0.99,15.,-0.16,15.,1.46,15.,0.010024,15.,0.
16.,1.,16.,-0.15,16.,1.89,16.,0.010028,16.,0.
17.,1.,17.,-0.15,17.,1.95,17.,0.010028,17.,0.
18.,0.99,18.,-0.15,18.,2.5,18.,0.010028,18.,0.
19.,0.99,19.,-0.17,19.,3.29,19.,0.010016,19.,0.
20.,1.,20.,-0.19,20.,3.96,20.,0.010024,20.,0.
21.,1.,21.,-0.14,21.,4.08,21.,0.010028,21.,0.
22.,1.,22.,-0.14,22.,4.75,22.,0.010016,22.,0.
23.,0.99,23.,-0.21,23.,5.61,23.,0.010028,23.,0.
24.,1.,24.,-0.11,24.,5.61,24.,0.010024,24.,0.
25.,1.,25.,-0.17,25.,7.5,25.,0.010016,25.,0.
26.,1.,26.,-0.19,26.,7.01,26.,0.01002,26.,0.
27.,1.,27.,-0.1,27.,8.35,27.,0.01002,27.,0.
28.,0.99,28.,-0.2,28.,8.72,28.,0.010012,28.,0.
29.,1.,29.,-0.13,29.,9.39,29.,0.010016,29.,0.
30.,1.,30.,-0.14,30.,10.61,30.,0.010028,30.,0.
31.,0.99,31.,-0.14,31.,10.97,31.,0.010032,31.,0.
32.,1.,32.,-0.15,32.,12.68,32.,0.010036,32.,0.
33.,0.99,33.,-0.18,33.,13.66,33.,0.010028,33.,0.
34.,1.,34.,-0.12,34.,14.08,34.,0.010032,34.,0.
35.,1.,35.,-0.16,35.,15.49,35.,0.010028,35.,0.
36.,1.,36.,-0.16,36.,16.95,36.,0.010028,36.,0.
37.,1.01,37.,-0.13,37.,19.33,37.,0.010032,37.,0.
38.,1.01,38.,-0.15,38.,22.44,38.,0.01004,38.,0.
39.,1.,39.,-0.13,39.,24.45,39.,0.010028,39.,0.
40.,1.01,40.,-0.13,40.,26.1,40.,0.010032,40.,0.
41.,1.,41.,-0.15,41.,29.08,41.,0.01004,41.,0.
42.,1.01,42.,-0.13,42.,32.5,42.,0.01002,42.,0.
43.,1.01,43.,-0.14,43.,36.03,43.,0.010028,43.,0.
44.,1.,44.,-0.14,44.,38.47,44.,0.010032,44.,0.
