x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
1.,-0.02,1.,0.13,1.,0.18,1.,0.01002,1.,-3.
2.,-0.03,2.,0.13,2.,0.06,2.,0.010044,2.,-3.
3.,-0.02,3.,0.13,3.,0.06,3.,0.01004,3.,-3.
4.,-0.03,4.,0.12,4.,-0.18,4.,0.010036,4.,-3.
5.,-0.03,5.,0.13,5.,-0.18,5.,0.010008,5.,-3.
6.,-0.02,6.,0.13,6.,-0.18,6.,0.010008,6.,-3.
7.,-0.03,7.,0.12,7.,0.3,7.,0.010004,7.,-3.
8.,-0.02,8.,0.13,8.,0.3,8.,0.01004,8.,-3.
9.,-0.02,9.,0.13,9.,0.3,9.,0.010032,9.,-3.
10.,-0.03,10.,0.13,10.,0.55,10.,0.010036,10.,-3.
11.,-0.02,11.,0.13,11.,0.61,11.,0.010044,11.,-3.
12.,-0.02,12.,0.12,12.,0.43,12.,0.010004,12.,-3.
13.,-0.03,13.,0.13,13.,0.73,13.,0.010008,13.,-3.
14.,-0.03,14.,0.13,14.,1.03,14.,0.010036,14.,-3.
15.,-0.02,15.,0.13,15.,1.22,15.,0.010044,15.,-3.
16.,-0.02,16.,0.13,16.,1.1,16.,0.010004,16.,-3.
17.,-0.03,17.,0.13,17.,1.34,17.,0.010044,17.,-3.
18.,-0.03,18.,0.12,18.,1.83,18.,0.010008,18.,-3.
19.,-0.03,19.,0.11,19.,1.77,19.,0.010044,19.,-3.
20.,-0.02,20.,0.13,20.,1.71,20.,0.010008,20.,-3.
21.,-0.02,21.,0.16,21.,1.71,21.,0.010004,21.,-3.
22.,-0.03,22.,0.11,22.,2.13,22.,0.010008,22.,-3.
23.,-0.03,23.,0.1,23.,2.62,23.,0.010048,23.,-3.
24.,-0.01,24.,0.19,24.,2.25,24.,0.010044,24.,-3.
25.,-0.04,25.,0.07,25.,3.41,25.,0.010044,25.,-3.
26.,-0.01,26.,0.2,26.,3.05,26.,0.010044,26.,-3.
27.,-0.03,27.,0.08,27.,4.63,27.,0.010036,27.,-3.
28.,-0.02,28.,0.13,28.,4.75,28.,0.010044,28.,-3.
29.,-0.02,29.,0.15,29.,5.18,29.,0.010044,29.,-3.
30.,-0.03,30.,0.09,30.,5.61,30.,0.01004,30.,-3.
31.,-0.02,31.,0.15,31.,5.18,31.,0.01004,31.,-3.
32.,-0.03,32.,0.12,32.,5.91,32.,0.010004,32.,-3.
33.,-0.02,33.,0.1,33.,6.71,33.,0.010048,33.,-3.
34.,-0.02,34.,0.16,34.,7.13,34.,0.010036,34.,-3.
35.,-0.03,35.,0.11,35.,8.23,35.,0.010008,35.,-3.
36.,-0.02,36.,0.12,36.,9.27,36.,0.010004,36.,-3.
37.,-0.02,37.,0.14,37.,10.85,37.,0.010004,37.,-3.
38.,-0.02,38.,0.11,38.,11.95,38.,0.010044,38.,-3.
39.,-0.02,39.,0.15,39.,12.8,39.,0.010008,39.,-3.
40.,-0.03,40.,0.13,40.,14.39,40.,0.010036,40.,-3.
41.,-0.03,41.,0.12,41.,15.85,41.,0.010016,41.,-3.
42.,-0.02,42.,0.13,42.,17.74,42.,0.010016,42.,-3.
43.,-0.02,43.,0.11,43.,19.51,43.,0.010012,43.,-3.
44.,-0.02,44.,0.12,44.,21.03,44.,0.010012,44.,-3.
45.,-0.03,45.,0.13,45.,21.71,45.,0.010016,45.,-3.
46.,-0.03,46.,0.12,46.,22.25,46.,0.01002,46.,-3.
47.,-0.02,47.,0.13,47.,23.05,47.,0.010012,47.,-3.
48.,-0.03,48.,0.13,48.,24.45,48.,0.010008,48.,-3.
49.,-0.02,49.,0.13,49.,25.91,49.,0.010012,49.,-3.
50.,-0.02,50.,0.13,50.,27.32,50.,0.01002,50.,-3.
51.,-0.03,51.,0.13,51.,27.32,51.,0.010012,51.,-3.
52.,-0.02,52.,0.13,52.,27.74,52.,0.01002,52.,-3.
53.,-0.02,53.,0.13,53.,28.84,53.,0.010004,53.,-3.
54.,-0.02,54.,0.12,54.,29.88,54.,0.010012,54.,-3.
55.,-0.02,55.,0.13,55.,31.22,55.,0.010016,55.,-3.
56.,-0.02,56.,0.12,56.,32.13,56.,0.01002,56.,-3.
57.,-0.02,57.,0.12,57.,33.47,57.,0.010008,57.,-3.
58.,-0.02,58.,0.12,58.,34.88,58.,0.010004,58.,-3.
59.,-0.02,59.,0.12,59.,36.16,59.,0.010012,59.,-3.
60.,-0.02,60.,0.12,60.,37.38,60.,0.01002,60.,-3.
61.,-0.02,61.,0.12,61.,38.84,61.,0.010008,61.,-3.
62.,-0.02,62.,0.12,62.,40.24,62.,0.010008,62.,-3.
63.,-0.02,63.,0.12,63.,41.71,63.,0.010012,63.,-3.
64.,-0.02,64.,0.13,64.,42.99,64.,0.01002,64.,-3.
65.,-0.02,65.,0.13,65.,44.39,65.,0.010016,65.,-3.
66.,-0.02,66.,0.13,66.,45.61,66.,0.010012,66.,-3.
67.,-0.02,67.,0.12,67.,47.25,67.,0.010016,67.,-3.
68.,-0.02,68.,0.12,68.,49.02,68.,0.01002,68.,-3.
69.,-0.02,69.,0.12,69.,50.55,69.,0.010008,69.,-3.
