x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.,1.02,0.,0.15,0.,185.09,0.,0.010016,0.,-1.
1.,1.02,1.,0.16,1.,183.63,1.,0.010012,1.,-1.
2.,1.03,2.,0.18,2.,184.85,2.,0.010024,2.,-1.
3.,1.02,3.,0.19,3.,186.8,3.,0.010016,3.,-1.
4.,1.02,4.,0.21,4.,186.25,4.,0.010008,4.,-1.
5.,1.01,5.,0.22,5.,185.64,5.,0.010016,5.,-1.
6.,1.01,6.,0.23,6.,184.97,6.,0.01002,6.,-1.
7.,1.01,7.,0.25,7.,184.18,7.,0.010008,7.,-1.
8.,1.,8.,0.26,8.,183.51,8.,0.01002,8.,-1.
9.,0.99,9.,0.28,9.,182.9,9.,0.010012,9.,-1.
10.,0.99,10.,0.3,10.,182.59,10.,0.010012,10.,-1.
11.,-0.34,11.,-0.88,11.,-0.09,11.,0.010028,11.,-3.
12.,-0.33,12.,-0.88,12.,-0.03,12.,0.010028,12.,-3.
13.,-0.34,13.,-0.88,13.,-0.03,13.,0.010024,13.,-3.
14.,-0.33,14.,-0.89,14.,-0.09,14.,0.010028,14.,-3.
15.,-0.33,15.,-0.88,15.,-0.15,15.,0.010028,15.,-3.
16.,-0.33,16.,-0.88,16.,-0.09,16.,0.010032,16.,-3.
17.,-0.34,17.,-0.89,17.,0.09,17.,0.010032,17.,-3.
18.,-0.33,18.,-0.88,18.,0.09,18.,0.010008,18.,-3.
19.,-0.33,19.,-0.88,19.,0.03,19.,0.010044,19.,-3.
20.,-0.33,20.,-0.89,20.,0.34,20.,0.010016,20.,-3.
21.,-0.33,21.,-0.89,21.,-0.03,21.,0.010024,21.,-3.
22.,-0.34,22.,-0.89,22.,0.46,22.,0.010032,22.,-3.
23.,-0.33,23.,-0.88,23.,0.46,23.,0.010016,23.,-3.
24.,-0.33,24.,-0.88,24.,0.22,24.,0.010016,24.,-3.
25.,-0.33,25.,-0.88,25.,0.4,25.,0.010024,25.,-3.
26.,-0.34,26.,-0.88,26.,1.01,26.,0.010016,26.,-3.
27.,-0.33,27.,-0.88,27.,1.62,27.,0.01002,27.,-3.
28.,-0.33,28.,-0.9,28.,2.29,28.,0.01002,28.,-3.
29.,-0.33,29.,-0.9,29.,2.96,29.,0.01002,29.,-3.
30.,-0.33,30.,-0.86,30.,3.75,30.,0.010012,30.,-3.
31.,-0.33,31.,-0.86,31.,4.36,31.,0.010032,31.,-3.
32.,-0.34,32.,-0.93,32.,5.77,32.,0.01002,32.,-3.
33.,-0.32,33.,-0.86,33.,6.68,33.,0.01002,33.,-3.
34.,-0.34,34.,-0.87,34.,8.02,34.,0.01002,34.,-3.
35.,-0.33,35.,-0.95,35.,9.67,35.,0.01002,35.,-3.
36.,-0.32,36.,-0.81,36.,11.01,36.,0.01002,36.,-3.
37.,-0.33,37.,-0.95,37.,12.78,37.,0.010028,37.,-3.
38.,-0.32,38.,-0.86,38.,14.12,38.,0.010028,38.,-3.
39.,-0.33,39.,-0.89,39.,15.83,39.,0.01004,39.,-3.
40.,-0.32,40.,-0.89,40.,18.45,40.,0.010032,40.,-3.
41.,-0.32,41.,-0.88,41.,20.28,41.,0.010032,41.,-3.
42.,-0.32,42.,-0.88,42.,21.74,42.,0.01004,42.,-3.
43.,-0.31,43.,-0.89,43.,24.67,43.,0.010028,43.,-3.
44.,-0.31,44.,-0.89,44.,26.56,44.,0.010036,44.,-3.
45.,-0.31,45.,-0.88,45.,28.75,45.,0.01004,45.,-3.
46.,-0.31,46.,-0.88,46.,31.01,46.,0.010024,46.,-3.
47.,-0.3,47.,-0.9,47.,33.39,47.,0.010028,47.,-3.
48.,-0.3,48.,-0.9,48.,36.01,48.,0.010024,48.,-3.
49.,-0.3,49.,-0.9,49.,38.69,49.,0.010024,49.,-3.
50.,-0.3,50.,-0.89,50.,40.7,50.,0.010028,50.,-3.
51.,-0.29,51.,-0.9,51.,43.2,51.,0.01002,51.,-3.
52.,-0.29,52.,-0.89,52.,45.7,52.,0.01002,52.,-3.
53.,-0.29,53.,-0.89,53.,47.96,53.,0.010028,53.,-3.
54.,-0.28,54.,-0.9,54.,50.64,54.,0.010036,54.,-3.
55.,-0.28,55.,-0.9,55.,52.78,55.,0.010032,55.,-3.
56.,-0.27,56.,-0.89,56.,55.28,56.,0.010028,56.,-3.
57.,-0.27,57.,-0.9,57.,57.53,57.,0.01004,57.,-3.
58.,-0.26,58.,-0.9,58.,60.22,58.,0.010028,58.,-3.
59.,-0.26,59.,-0.9,59.,62.84,59.,0.010032,59.,-3.
60.,-0.25,60.,-0.91,60.,65.03,60.,0.010036,60.,-3.
61.,-0.24,61.,-0.91,61.,67.05,61.,0.010028,61.,-3.
62.,-0.23,62.,-0.91,62.,69.79,62.,0.010032,62.,-3.
63.,-0.23,63.,-0.92,63.,71.5,63.,0.01004,63.,-3.
64.,-0.23,64.,-0.92,64.,73.87,64.,0.010028,64.,-3.
65.,-0.22,65.,-0.91,65.,76.56,65.,0.01004,65.,-3.
66.,-0.21,66.,-0.93,66.,78.2,66.,0.010028,66.,-3.
67.,-0.2,67.,-0.93,67.,80.28,67.,0.010028,67.,-3.
68.,-0.19,68.,-0.92,68.,82.17,68.,0.010032,68.,-3.
69.,-0.19,69.,-0.93,69.,84.61,69.,0.01004,69.,-3.
70.,-0.18,70.,-0.93,70.,86.98,70.,0.010036,70.,-3.
71.,-0.18,71.,-0.92,71.,89.,71.,0.010028,71.,-3.
72.,-0.17,72.,-0.92,72.,91.5,72.,0.010024,72.,-3.
73.,-0.16,73.,-0.93,73.,93.69,73.,0.010036,73.,-3.
74.,-0.15,74.,-0.93,74.,96.31,74.,0.01004,74.,-3.
75.,-0.14,75.,-0.93,75.,98.39,75.,0.010036,75.,-3.
76.,-0.13,76.,-0.94,76.,100.46,76.,0.010036,76.,-3.
