x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.,0.1,0.,-0.,0.,-1.54,0.,0.010032,0.,0.
1.,0.1,1.,-0.,1.,-1.54,1.,0.01002,1.,0.
2.,0.1,2.,-0.01,2.,-1.42,2.,0.010008,2.,0.
3.,0.1,3.,-0.,3.,-1.54,3.,0.010016,3.,0.
4.,0.1,4.,-0.01,4.,-1.48,4.,0.01002,4.,0.
5.,0.1,5.,-0.01,5.,-1.3,5.,0.01002,5.,0.
6.,0.1,6.,-0.,6.,-1.36,6.,0.01002,6.,0.
7.,0.1,7.,-0.,7.,-1.3,7.,0.010008,7.,0.
8.,0.1,8.,-0.01,8.,-1.48,8.,0.010008,8.,0.
9.,0.1,9.,-0.,9.,-1.36,9.,0.01002,9.,0.
10.,0.1,10.,-0.,10.,-1.36,10.,0.010016,10.,0.
11.,0.1,11.,-0.01,11.,-1.48,11.,0.010016,11.,0.
12.,0.1,12.,-0.01,12.,-1.54,12.,0.010028,12.,0.
13.,0.1,13.,-0.,13.,-1.36,13.,0.010024,13.,0.
14.,0.1,14.,-0.01,14.,-1.36,14.,0.01002,14.,0.
15.,0.1,15.,-0.,15.,-1.42,15.,0.010024,15.,0.
16.,0.1,16.,-0.,16.,-1.48,16.,0.010012,16.,0.
17.,0.1,17.,-0.,17.,-1.54,17.,0.010016,17.,0.
18.,0.1,18.,-0.01,18.,-1.67,18.,0.01002,18.,0.
19.,0.1,19.,-0.,19.,-1.73,19.,0.010024,19.,0.
20.,0.1,20.,-0.,20.,-1.48,20.,0.010024,20.,0.
21.,0.1,21.,-0.,21.,-1.36,21.,0.010012,21.,0.
22.,0.1,22.,-0.01,22.,-1.54,22.,0.010016,22.,0.
23.,0.1,23.,-0.01,23.,-1.36,23.,0.010028,23.,0.
24.,0.1,24.,-0.,24.,-1.42,24.,0.010028,24.,0.
25.,0.1,25.,-0.01,25.,-1.6,25.,0.010012,25.,0.
26.,0.1,26.,-0.01,26.,-1.24,26.,0.010028,26.,0.
27.,0.1,27.,-0.,27.,-1.24,27.,0.010028,27.,0.
28.,0.1,28.,-0.01,28.,-1.42,28.,0.01002,28.,0.
29.,0.1,29.,-0.,29.,-1.6,29.,0.01002,29.,0.
30.,0.1,30.,-0.,30.,-1.36,30.,0.010004,30.,0.
31.,0.1,31.,-0.01,31.,-1.42,31.,0.010012,31.,0.
32.,0.1,32.,-0.01,32.,-1.48,32.,0.010028,32.,0.
33.,0.1,33.,-0.01,33.,-1.48,33.,0.010028,33.,0.
34.,0.1,34.,-0.01,34.,-1.67,34.,0.010024,34.,0.
35.,0.1,35.,-0.,35.,-1.48,35.,0.010024,35.,0.
36.,0.1,36.,-0.,36.,-1.54,36.,0.010016,36.,0.
37.,0.1,37.,-0.,37.,-1.6,37.,0.01002,37.,0.
38.,0.1,38.,-0.,38.,-1.48,38.,0.010012,38.,0.
39.,0.1,39.,-0.01,39.,-1.73,39.,0.010012,39.,0.
40.,0.1,40.,-0.01,40.,-1.3,40.,0.010028,40.,0.
41.,0.1,41.,-0.01,41.,-1.18,41.,0.01002,41.,0.
42.,0.1,42.,-0.,42.,-1.3,42.,0.010024,42.,0.
43.,0.1,43.,-0.01,43.,-1.36,43.,0.010016,43.,0.
44.,0.1,44.,-0.01,44.,-1.36,44.,0.010024,44.,0.
45.,0.1,45.,-0.,45.,-1.36,45.,0.010024,45.,0.
46.,0.1,46.,-0.,46.,-1.54,46.,0.01002,46.,0.
47.,0.1,47.,-0.01,47.,-1.6,47.,0.010016,47.,0.
48.,0.1,48.,-0.01,48.,-1.48,48.,0.01002,48.,0.
49.,0.1,49.,-0.01,49.,-1.54,49.,0.01002,49.,0.
